impressionTime,displayLocation,advertiserName,advertiserScreenName,osType,deviceId,deviceType,tweetId,tweetText,trendId,trendName,trendDescription
2019-10-20 21:59:42,ProfileTweets,Physicians Grassroots Network,@PhysGrassroots,Ios,33f6aeff65,iPhone,1181197708268363777,Physicians should have real-time formulary and cost information readily available at the point-of-care. RT if you agree! #TruthinRx https://t.co/07GtA9HSnH,,,
2019-10-21 12:49:27,TimelineHome,The Penny Hoarder,@thepennyhoarder,Ios,33f6aeff65,iPhone,1157345002634301440,Make these moves before it's too late...,,,
2019-10-21 12:49:37,TimelineHome,Abbott,@AbbottNews,Ios,33f6aeff65,iPhone,1179440909529731072,ANNOUNCING: The FDA has approved the Proclaim™ XR SCS system for the management of chronic pain. It’s a recharge-free neurostimulation system that lasts up to 10 years at low-dose settings*. Learn more: https://t.co/zLiDMAEkZN https://t.co/P8oOxiZe2E,,,
2019-10-22 23:40:54,TimelineHome,Syngenta US,@SyngentaUS,Ios,33f6aeff65,iPhone,1186688275135660032,"Greg Doonan, head of novel algorithm development, says advances in agriculture are more cutting-edge and ground-breaking than many people think. Learn more this week at @INFORMS2019 https://t.co/kjnhmX4yDf https://t.co/ICodChM2ol",,,
2019-10-23 01:15:22,TimelineHome,Financial Times,@FinancialTimes,Ios,33f6aeff65,iPhone,1184041695211593729,"""Not that long ago I took the 17-hour nonstop flight from Heathrow to Perth. 'It’s unbelievable,' said a friend, who turned out to be quite right. It was unbelievable. Unbelievably awful"" https://t.co/AUJJhNnU3s",,,
2019-10-23 01:15:21,TimelineHome,Fidelity Investments,@Fidelity,Ios,33f6aeff65,iPhone,1185194025784991745,RT @TimmerFidelity: This chart shows the MSCI AC World total return index against its trend line since the 2009 low. The bottom panel shows…,,,
2019-10-23 01:15:22,TimelineHome,Twitter Surveys,@TwitterSurveys,Ios,33f6aeff65,iPhone,,,,,
2019-10-23 01:15:22,TimelineHome,Terminator: Dark Fate,@Terminator,Ios,33f6aeff65,iPhone,1186731735150542848,"They hunted her. Now it's her turn to take them down. Tickets are on sale now for #TerminatorDarkFate, in theatres Nov 1.",,,
2019-10-23 01:15:17,TimelineHome,Apple Card,@AppleCard,Ios,33f6aeff65,iPhone,1181408787577618432,"Apple Card is here. A new kind of credit card. Created by Apple, not a bank. Apply now: https://t.co/VLEV8uQ65q
Terms apply. https://t.co/94pt8CdHT4",,,
2019-10-24 13:06:52,TimelineHome,Scrubbing Bubbles®,@ScrubbingBubble,Ios,33f6aeff65,iPhone,1186668665745182720,"Unclean surfaces stink! Which of these surfaces, if left dirty, would most drive you cuckoo?",,,
2019-10-24 13:05:55,TimelineHome,Blinkist,@blinkist,Ios,33f6aeff65,iPhone,1181597815279165440,Blinkist is an app used by top thinkers around the world –– it provides genuine value for people who love to learn.,,,
2019-10-24 13:22:03,ProfileAccountsSidebar,Dan Lipinski,@DanLipinski,Ios,33f6aeff65,iPhone,,,,,
2019-10-24 13:07:06,TimelineHome,Terminator: Dark Fate,@Terminator,Ios,33f6aeff65,iPhone,1186731735150542848,"They hunted her. Now it's her turn to take them down. Tickets are on sale now for #TerminatorDarkFate, in theatres Nov 1.",,,
2019-10-24 13:05:44,TimelineHome,Abbott,@AbbottNews,Ios,33f6aeff65,iPhone,1179440909529731072,ANNOUNCING: The FDA has approved the Proclaim™ XR SCS system for the management of chronic pain. It’s a recharge-free neurostimulation system that lasts up to 10 years at low-dose settings*. Learn more: https://t.co/zLiDMAEkZN https://t.co/P8oOxiZe2E,,,
2019-10-24 13:06:48,TimelineHome,Quicken Loans,@QuickenLoans,Ios,33f6aeff65,iPhone,1171545728390316032,RT @RocketMortgage: Home is much more than a house. It's a personal playground. Nothing feels better than having a place to call home. We k…,,,
2019-10-24 13:06:24,TimelineHome,"H Fisk Johnson, Ph.D.",@HFiskJohnson,Ios,33f6aeff65,iPhone,1187159397249585152,"This is ridiculous. Go ahead, criticize. 8M tons of plastic flow into the ocean p/year. Stopping it before it gets there is the best way as we wait for other solves. And what about income for collectors who live on less than $3 a day?https://t.co/6gG9k2vsiQ",,,
2019-10-24 13:06:39,TimelineHome,belVita,@belVita,Ios,33f6aeff65,iPhone,1177629014799855619,Outlast anything that comes your way with 4 hours of lasting energy. https://t.co/ypLjmOLdQW,,,
2019-10-24 13:12:14,TimelineHome,Amazon Prime Video US,@PrimeVideo,Ios,33f6aeff65,iPhone,1126196550969860096,The time for new Amazon Originals is now. FOLLOW us to learn more.,,,
2019-10-24 13:05:16,TimelineHome,Verizon,@verizon,Ios,33f6aeff65,iPhone,1186733966017138688,"Verizon 5G with Ultra Wideband is coming to Madison Square Garden and arenas across the country, so this season posting, sharing fans at the biggest games can enjoy 5G experiences on their phones. #5GBuiltRight. https://t.co/MtprRYMP4p",69661,#5GBuiltRight,It's game time for Verizon 5G.
2019-10-24 13:06:58,TimelineHome,Apple Card,@AppleCard,Ios,33f6aeff65,iPhone,1181370727188090880,"Fees don’t help you, so Apple Card doesn’t have any. No annual fees, no late fees, no foreign transaction fees. Best of all, no hidden fees. Apply now: https://t.co/5oNWsV4FRw 
Terms Apply. https://t.co/pLTkgpCia7",,,
2019-10-24 19:47:52,TimelineHome,NyQuil & DayQuil,@NyQuilDayQuil,Ios,33f6aeff65,iPhone,1169304759108603904,Put your cold to sleep with max strength relief of your worst cold and flu symptoms #NyQuilSevere,,,
2019-10-24 19:51:16,OrganicVideo,Lexus,@Lexus,Ios,33f6aeff65,iPhone,,,,,
2019-10-24 19:56:05,TimelineHome,BrighthouseFinancial,@BrighthouseFin,Ios,33f6aeff65,iPhone,1186754193970757633,Karen is celebrating her daughter heading off to college the best way she knows how – with cake. Watch her story now 🍰,,,
2019-10-24 20:29:39,ProfileTweets,American Investment Council,@AmericaInvests,Ios,33f6aeff65,iPhone,1187031684551790593,".@GrapeTreeMed partnered with #PrivateEquity to scale its business to meet increasing demand for nurses &amp; healthcare professionals in rural Iowa. Two years into this partnership, Grape Tree has doubled its staff &amp; expanded operations into South Dakota &amp; other neighboring states. https://t.co/9sXzdOgEO8",,,
2019-10-24 20:28:44,ProfileAccountsSidebar,Salesforce News,@SalesforceNews,Ios,33f6aeff65,iPhone,,,,,
2019-10-24 20:34:38,ProfileTweets,Fidelity Investments,@Fidelity,Ios,33f6aeff65,iPhone,1184914531396382720,"$0-commission trades are just another example of
the industry-leading value you’ll find at Fidelity.",,,
2019-10-24 20:28:32,TimelineHome,Abbott,@AbbottNews,Ios,33f6aeff65,iPhone,1179440909529731072,ANNOUNCING: The FDA has approved the Proclaim™ XR SCS system for the management of chronic pain. It’s a recharge-free neurostimulation system that lasts up to 10 years at low-dose settings*. Learn more: https://t.co/zLiDMAEkZN https://t.co/P8oOxiZe2E,,,
2019-10-24 20:00:27,SearchTweets,Fidelity Investments,@Fidelity,Ios,33f6aeff65,iPhone,1184913997302091776,"$0-commission trades are just another example of
the industry-leading value you’ll find at Fidelity.",,,
2019-10-24 20:35:39,SearchTweets,Theraflu,@Theraflu,Ios,33f6aeff65,iPhone,1181291149111255040,"Feel the powerful relief of Theraflu Multi-Symptom. It treats nasal congestion, sore throat pain, cough, headache, body aches, and fever—all in one soothing hot liquid.",,,
2019-10-25 13:04:47,TimelineHome,YouTube TV,@YouTubeTV,Ios,33f6aeff65,iPhone,1186799170423873539,"The 1941 #WorldSeries inspired @TheRealBuzz to go #ToTheMoon. The 2019 series has inspired us to make our own history. 

Get ready because we want to put the first-ever baseball franchise on the Moon. https://t.co/alP3xoKwcX",,,
2019-10-25 13:04:42,ProfileTweets,Toyota Motor Corp.,@ToyotaMotorCorp,Ios,33f6aeff65,iPhone,1186421795739463681,See how Toyota is getting ready for the Olympic and Paralympic Games Tokyo 2020.,70002,#StartYourImpossible,"When we're free to move, anything is possible"
2019-10-25 13:04:47,TimelineHome,Apple Card,@AppleCard,Ios,33f6aeff65,iPhone,1181370727188090880,"Fees don’t help you, so Apple Card doesn’t have any. No annual fees, no late fees, no foreign transaction fees. Best of all, no hidden fees. Apply now: https://t.co/5oNWsV4FRw 
Terms Apply. https://t.co/pLTkgpCia7",,,
2019-10-25 13:04:47,TimelineHome,Toyota Motor Corp.,@ToyotaMotorCorp,Ios,33f6aeff65,iPhone,1186421734154440704,"It’s a mobile store, it’s a workspace, it’s whatever
you make it. Click to learn more about e-Palette.",70002,#StartYourImpossible,"When we're free to move, anything is possible"
2019-10-25 13:04:47,TimelineHome,Silicon Valley,@SiliconHBO,Ios,33f6aeff65,iPhone,1186643394937937922,"How big is too big? You be the judge. 
❤️ this tweet and we’ll send you a reminder this Sunday to tune in to the biggest season of #SiliconValleyHBO yet. https://t.co/6CI0mbCZV0",,,
2019-10-25 12:07:47,TimelineHome,Associated Bank,@AssociatedBank,Ios,33f6aeff65,iPhone,1186302335401771010,"Switching banks is simple when you know your money works here in the Midwest. Plus, you can earn up to $500.
Learn more here: https://t.co/O5Xr0jzD6F #YourMoneyWorksHere https://t.co/YDvBQikAKZ",,,
2019-10-25 12:08:51,TimelineHome,DEVOUR Foods,@devourfoods,Ios,33f6aeff65,iPhone,1182383548118061058,"The right amount of creamy hits the perfect amount of crispy. Grab the DEVOUR White Cheddar Bacon Mac &amp; Cheese from your local freezer aisle. 

It’s creamy. It’s cheesy. It’s loaded with bacon. https://t.co/FgkPesI4pO",,,
2019-10-25 12:06:41,TimelineHome,The New York Times,@nytimes,Ios,33f6aeff65,iPhone,1186280979914084354,"Two thirds of our operating budget is dependent on subscriptions, which are vital in keeping our 1,600 journalists reporting from over 160 countries.",,,
2019-10-25 12:09:21,TimelineHome,Business Dubai,@BusinessDubai,Ios,33f6aeff65,iPhone,1140227712163995651,#Dubai’s Sustainable City plans to enhance the ‘quality of life’ and minimise the impact on the environment by reducing the use of energy and water and the generation of waste. @TSCDubai #sustainability https://t.co/bteP2jsUcV,,,
2019-10-25 12:07:00,TimelineHome,Fidelity Investments,@Fidelity,Ios,33f6aeff65,iPhone,1184914531396382720,"$0-commission trades are just another example of
the industry-leading value you’ll find at Fidelity.",,,
2019-10-25 12:33:43,TimelineHome,Blinkist,@blinkist,Ios,33f6aeff65,iPhone,1181597854785257473,Blinkist is an app used by top thinkers around the world –– it provides genuine value for people who love to learn.,,,
